,codeCompagnie,NbrSinistre,typeIntermediaire,VolontaireAccidents,CountSinisterAdvr,naturePolice,Etat_Police,vehicule_id,assure_id,classeBonusMalus,CONTRAT_EN_COURS,puissanceFiscal,energie,etatVehicule,libUsage,identificationTiers,pourcentadeDeResponsabilite,porcentageCompagnieAdverse,natureDuSinistre,annee_dateOuvertureDuSinistre,Duree,Fraud,annee_effet_police,mois_effet_police,jour_effet_police,annee_date_Calcule,mois_date_Calcule,jour_date_Calcule,mois_dateOuvertureDuSinistre,jour_dateOuvertureDuSinistre,mois_dateEcheancePolice,jour_dateEcheancePolice
22206,6,1,2,1.0,1,0,2,1062327,1046280,4,1,10,2,1,8,0,100,0,1,2017,1798,0,2014,8,29,2019,8,1,4,12,8,29
22207,6,1,1,1.0,1,0,2,1062375,1046331,1,0,5,2,1,8,0,0,100,1,2017,3992,0,2008,3,26,2019,3,1,7,26,3,26
22208,6,1,1,1.0,1,0,2,1062402,1046361,10,0,5,2,1,8,0,100,0,1,2017,1808,0,2014,4,19,2019,4,1,12,19,4,19
22209,6,1,2,1.0,1,0,2,1062436,1046394,8,1,6,2,1,8,0,0,0,1,2017,313,0,2017,2,22,2018,1,1,3,10,2,22
22210,6,1,1,1.0,1,0,0,1062484,1046443,8,1,5,2,1,8,0,0,100,1,2017,0,0,2016,5,13,2016,5,13,4,10,5,13
22211,6,1,1,1.0,1,0,2,1062722,1046681,2,0,4,2,1,8,0,0,100,1,2017,2541,0,2012,6,16,2019,6,1,6,22,6,16
22212,6,1,1,1.0,1,0,2,1062801,1046758,1,0,5,2,1,8,0,0,100,1,2017,6184,0,2002,4,26,2019,4,1,7,29,4,26
22213,6,1,1,1.0,1,0,2,1062905,1046882,4,0,6,2,1,8,0,0,100,1,2017,724,0,2017,7,7,2019,7,1,11,13,7,7
22214,6,1,1,1.0,1,0,2,1062953,1046927,8,1,5,2,1,8,0,0,100,1,2018,379,0,2017,11,17,2018,12,1,1,2,11,17
22215,6,1,1,1.0,1,0,2,1062987,1046962,4,0,5,2,1,8,0,0,100,1,2017,1077,0,2016,3,19,2019,3,1,5,29,3,19
22216,6,1,1,1.0,1,0,2,1063041,1047018,2,1,8,3,1,13,0,0,0,1,2017,4007,0,2008,9,11,2019,9,1,8,14,9,11
22217,6,2,1,2.0,1,0,2,1063041,1047018,2,1,8,3,1,13,0,100,0,1,2017,4007,1,2008,9,11,2019,9,1,12,4,9,11
22218,6,1,1,1.0,1,0,0,841803,1047041,2,1,6,3,1,8,0,0,100,1,2017,2699,0,2008,11,13,2016,4,4,5,15,11,13
22219,6,2,1,2.0,1,0,0,841803,1047041,2,1,6,3,1,8,0,100,0,1,2017,2699,1,2008,11,13,2016,4,4,10,19,11,13
22220,6,1,1,1.0,1,0,0,287914,1047043,3,1,5,2,1,8,0,100,0,1,2017,3287,0,2008,11,14,2017,11,14,3,8,11,14
22221,6,1,1,1.0,1,0,2,1063189,1047170,7,1,8,3,1,13,0,100,0,1,2017,1074,0,2016,3,22,2019,3,1,4,11,3,22
22222,6,1,1,1.0,1,0,2,1063221,1047203,6,0,5,2,1,8,0,100,0,1,2017,1075,0,2016,6,21,2019,6,1,4,3,6,21
22223,6,1,1,1.0,1,0,2,1063223,1047205,4,0,7,2,1,8,0,0,100,1,2017,1074,0,2016,7,22,2019,7,1,3,29,7,22
22224,6,2,1,2.0,1,0,2,1063223,1047205,4,0,7,2,1,8,0,0,100,1,2017,1074,1,2016,7,22,2019,7,1,3,31,7,22
22225,6,1,2,1.0,1,0,2,1063309,1047320,4,1,5,2,1,8,0,0,100,1,2018,1453,0,2015,9,9,2019,9,1,1,3,9,9
22226,9,1,2,1.0,1,0,2,1085568,1061774,1,1,6,2,1,8,2,0,0,1,2017,5796,0,2005,1,18,2020,12,1,10,10,1,18
22227,9,1,1,1.0,1,0,2,1085841,1061972,1,1,7,3,1,13,2,0,0,1,2017,3622,0,2009,7,31,2019,7,1,3,22,7,31
22228,9,1,1,1.0,1036,0,2,1086051,68498,2,0,5,3,1,13,2,100,0,1,2017,6910,1,2000,8,30,2019,8,1,2,21,8,30
